ID	Pi Hat	CntProbe	SeedInit	Error	RunTime	Experiment	
1	4.0	10.0	7029015	0.8584073464	3.886222839355469e-05	Parallel	
2	2.8571428571	10.0	5323744	-0.2844497964	3.790855407714844e-05	Parallel	
3	2.2222222222	10.0	779061	-0.9193704314	3.600120544433594e-05	Parallel	
4	3.3333333333	10.0	4589896	0.1917406797	3.719329833984375e-05	Parallel	
5	3.3333333333	10.0	8920394	0.1917406797	3.600120544433594e-05	Parallel	
6	4.0	10.0	8671483	0.8584073464	3.695487976074219e-05	Parallel	
7	2.2222222222	10.0	7779295	-0.9193704314	3.5762786865234375e-05	Parallel	
8	5.0	10.0	2304098	1.8584073464	3.814697265625e-05	Parallel	
9	5.0	10.0	5559561	1.8584073464	3.5762786865234375e-05	Parallel	
10	4.0	10.0	6649683	0.8584073464	3.600120544433594e-05	Parallel	
11	3.1746031746	100.0	3515774	0.033010521	0.00031566619873046875	Parallel	
12	2.9411764706	100.0	643551	-0.200416183	0.0003190040588378906	Parallel	
13	2.8571428571	100.0	9254416	-0.2844497964	0.00038504600524902344	Parallel	
14	2.9850746269	100.0	5830643	-0.1565180267	0.0003170967102050781	Parallel	
15	3.2258064516	100.0	6046784	0.084213798	0.0003180503845214844	Parallel	
16	3.2258064516	100.0	2337307	0.084213798	0.0003170967102050781	Parallel	
17	3.0769230769	100.0	6485642	-0.0646695767	0.00031495094299316406	Parallel	
18	3.4482758621	100.0	4255418	0.3066832085	0.0003170967102050781	Parallel	
19	3.8461538462	100.0	2995614	0.7045611926	0.00031828880310058594	Parallel	
20	3.3333333333	100.0	7194846	0.1917406797	0.00031113624572753906	Parallel	
21	3.5714285714	100.0	8298650	0.4298359178	0.0003142356872558594	Parallel	
22	3.003003003	1000.0	4144123	-0.1385896506	0.003302335739135742	Parallel	
23	3.1152647975	1000.0	2493993	-0.0263278561	0.004335880279541016	Parallel	
24	3.1796502385	1000.0	6798738	0.0380575849	0.0034770965576171875	Parallel	
25	3.0581039755	1000.0	6316186	-0.0834886781	0.0031311511993408203	Parallel	
26	3.1695721078	1000.0	1714462	0.0279794542	0.003131866455078125	Parallel	
27	3.1397174254	1000.0	9336291	-0.0018752282	0.003216266632080078	Parallel	
28	3.2679738562	1000.0	7973224	0.1263812026	0.0031201839447021484	Parallel	
29	2.962962963	1000.0	4894557	-0.1786296906	0.0031228065490722656	Parallel	
30	3.0769230769	1000.0	5408392	-0.0646695767	0.003123044967651367	Parallel	
31	3.2414910859	1000.0	7085266	0.0998984323	0.003113985061645508	Parallel	
32	3.2	1000.0	2812650	0.0584073464	0.0031108856201171875	Parallel	
33	3.125	10000.0	8032113	-0.0165926536	0.04621601104736328	Parallel	
34	3.1635558368	10000.0	7802384	0.0219631832	0.03620004653930664	Parallel	
35	3.1157501168	10000.0	7188903	-0.0258425367	0.03359508514404297	Parallel	
36	3.1510950055	10000.0	8720756	0.0095023519	0.035608768463134766	Parallel	
37	3.1555695803	10000.0	3258331	0.0139769267	0.03369498252868652	Parallel	
38	3.1441597233	10000.0	4919456	0.0025670697	0.03267502784729004	Parallel	
39	3.1357792411	10000.0	2560448	-0.0058134124	0.04094815254211426	Parallel	
40	3.1392246115	10000.0	6759382	-0.0023680421	0.04264974594116211	Parallel	
41	3.1695721078	10000.0	2884542	0.0279794542	0.04417109489440918	Parallel	
42	3.1461381155	10000.0	4646510	0.0045454619	0.03952288627624512	Parallel	
43	3.1147796293	10000.0	2241082	-0.0268130242	0.03279614448547363	Parallel	
44	3.1461876072	100000.0	2511722	0.0045949536	0.40814805030822754	Parallel	
45	3.1494079113	100000.0	4231429	0.0078152577	0.6938130855560303	Parallel	
46	3.1271988117	100000.0	9044233	-0.0143938419	0.4068431854248047	Parallel	
47	3.1502512325	100000.0	8765090	0.0086585789	0.3651857376098633	Parallel	
48	3.1486641792	100000.0	1107344	0.0070715256	0.3452150821685791	Parallel	
49	3.1427269442	100000.0	6840405	0.0011342906	0.48181915283203125	Parallel	
50	3.1360742622	100000.0	8079771	-0.0055183914	0.32751893997192383	Parallel	
51	3.1482676657	100000.0	8097831	0.0066750121	0.35202813148498535	Parallel	
52	3.1369104569	100000.0	7766027	-0.0046821967	0.3366670608520508	Parallel	
53	3.1453464599	100000.0	7501337	0.0037538063	0.32982397079467773	Parallel	
54	3.1479207983	100000.0	4357528	0.0063281447	0.4529399871826172	Parallel	
