sampleId	piHat	cntProbe	CntProbeLmt	isCensored	seedInit	OFError	OFtol	signifDigits	runtime	solverName	
1	3.1811023622	127.0	500	FALSE	4601247	0.0395097622	0.05	2	0.0005381107330322266	Dart	
2	3.1	40.0	500	FALSE	8939775	-0.0415926	0.05	2	0.00017905235290527344	Dart	
3	3.1111111111	9.0	500	FALSE	8763306	-0.0304814889	0.05	2	3.4809112548828125e-05	Dart	
4	3.1578947368	19.0	500	FALSE	3185806	0.0163021368	0.05	2	6.508827209472656e-05	Dart	
5	3.1111111111	9.0	500	FALSE	2887999	-0.0304814889	0.05	2	3.886222839355469e-05	Dart	
6	3.1111111111	9.0	500	FALSE	1221897	-0.0304814889	0.05	2	3.2901763916015625e-05	Dart	
7	3.1111111111	9.0	500	FALSE	4564874	-0.0304814889	0.05	2	3.314018249511719e-05	Dart	
8	3.1111111111	9.0	500	FALSE	2410923	-0.0304814889	0.05	2	3.1948089599609375e-05	Dart	
9	3.1428571429	14.0	500	FALSE	1953164	0.0012645429	0.05	2	4.601478576660156e-05	Dart	
10	3.1111111111	9.0	500	FALSE	5387500	-0.0304814889	0.05	2	3.0994415283203125e-05	Dart	
11	3.1044776119	67.0	500	FALSE	6123270	-0.0371149881	0.05	2	0.0002079010009765625	Dart	
12	3.095890411	146.0	500	FALSE	5791569	-0.045702189	0.05	2	0.00047469139099121094	Dart	
13	3.0947368421	190.0	500	FALSE	3055552	-0.0468557579	0.05	2	0.0005550384521484375	Dart	
14	3.1111111111	9.0	500	FALSE	276193	-0.0304814889	0.05	2	3.1948089599609375e-05	Dart	
15	3.1111111111	9.0	500	FALSE	584115	-0.0304814889	0.05	2	3.0994415283203125e-05	Dart	
16	3.0943396226	106.0	500	FALSE	7985688	-0.0472529774	0.05	2	0.000308990478515625	Dart	
17	3.1	40.0	500	FALSE	4304588	-0.0415926	0.05	2	0.00011920928955078125	Dart	
18	3.1111111111	36.0	500	FALSE	7228761	-0.0304814889	0.05	2	0.00011110305786132812	Dart	
19	3.1111111111	9.0	500	FALSE	3995782	-0.0304814889	0.05	2	3.218650817871094e-05	Dart	
20	3.1304347826	23.0	500	FALSE	7809831	-0.0111578174	0.05	2	7.176399230957031e-05	Dart	
21	3.1666666667	72.0	500	FALSE	8710988	0.0250740667	0.05	2	0.00022292137145996094	Dart	
22	3.1746031746	126.0	500	FALSE	7153805	0.0330105746	0.05	2	0.00037789344787597656	Dart	
23	3.1111111111	9.0	500	FALSE	8139283	-0.0304814889	0.05	2	3.123283386230469e-05	Dart	
24	3.1111111111	18.0	500	FALSE	4440353	-0.0304814889	0.05	2	5.698204040527344e-05	Dart	
25	3.1428571429	14.0	500	FALSE	2716431	0.0012645429	0.05	2	4.7206878662109375e-05	Dart	
26	3.1111111111	9.0	500	FALSE	1219462	-0.0304814889	0.05	2	3.0994415283203125e-05	Dart	
27	3.1111111111	9.0	500	FALSE	7720819	-0.0304814889	0.05	2	2.5272369384765625e-05	Dart	
28	3.175257732	97.0	500	FALSE	1292597	0.033665132	0.05	2	0.0002300739288330078	Dart	
29	3.1111111111	9.0	500	FALSE	1202482	-0.0304814889	0.05	2	2.5033950805664062e-05	Dart	
30	3.1489361702	47.0	500	FALSE	995549	0.0073435702	0.05	2	0.00011396408081054688	Dart	
31	3.191011236	178.0	500	FALSE	3010325	0.049418636	0.05	2	0.00041985511779785156	Dart	
32	3.1111111111	9.0	500	FALSE	714979	-0.0304814889	0.05	2	3.0040740966796875e-05	Dart	
33	3.1111111111	9.0	500	FALSE	7676230	-0.0304814889	0.05	2	2.5033950805664062e-05	Dart	
34	3.1111111111	18.0	500	FALSE	6463721	-0.0304814889	0.05	2	4.696846008300781e-05	Dart	
35	3.1111111111	9.0	500	FALSE	1307220	-0.0304814889	0.05	2	2.5033950805664062e-05	Dart	
36	3.1111111111	9.0	500	FALSE	2385438	-0.0304814889	0.05	2	2.5033950805664062e-05	Dart	
37	3.1111111111	9.0	500	FALSE	5539091	-0.0304814889	0.05	2	2.5033950805664062e-05	Dart	
38	3.0967741935	31.0	500	FALSE	206181	-0.0448184065	0.05	2	0.00011515617370605469	Dart	
