ID	Pi Hat	CntProbe	SeedInit	Error	RunTime	Experiment	
1	3.2	10.0	4528716	0.0584074	4.00543212890625e-05	Dart	
2	2.4	10.0	2645592	-0.7415926	3.910064697265625e-05	Dart	
3	2.8	10.0	3200007	-0.3415926	3.695487976074219e-05	Dart	
4	3.2	10.0	5813613	0.0584074	3.600120544433594e-05	Dart	
5	3.6	10.0	6567716	0.4584074	3.62396240234375e-05	Dart	
6	2.8	10.0	9122177	-0.3415926	3.600120544433594e-05	Dart	
7	3.2	10.0	3167170	0.0584074	3.600120544433594e-05	Dart	
8	3.2	10.0	228134	0.0584074	3.695487976074219e-05	Dart	
9	4.0	10.0	1412905	0.8584074	3.600120544433594e-05	Dart	
10	2.8	10.0	6111423	-0.3415926	3.600120544433594e-05	Dart	
11	3.2	10.0	8268651	0.0584074	3.600120544433594e-05	Dart	
12	2.8	10.0	309515	-0.3415926	3.504753112792969e-05	Dart	
13	2.4	10.0	5841676	-0.7415926	3.504753112792969e-05	Dart	
14	3.6	10.0	6927619	0.4584074	3.4809112548828125e-05	Dart	
15	3.2	10.0	1251738	0.0584074	3.504753112792969e-05	Dart	
16	2.8	10.0	8023351	-0.3415926	3.504753112792969e-05	Dart	
17	2.4	10.0	912208	-0.7415926	3.5762786865234375e-05	Dart	
18	4.0	10.0	4423366	0.8584074	3.504753112792969e-05	Dart	
19	2.4	10.0	1885029	-0.7415926	3.4809112548828125e-05	Dart	
20	4.0	10.0	7928476	0.8584074	3.504753112792969e-05	Dart	
21	2.4	10.0	6081883	-0.7415926	3.695487976074219e-05	Dart	
22	3.2	10.0	8972584	0.0584074	3.504753112792969e-05	Dart	
23	3.2	10.0	915450	0.0584074	3.504753112792969e-05	Dart	
24	3.6	10.0	3351584	0.4584074	3.62396240234375e-05	Dart	
25	3.6	10.0	297793	0.4584074	3.409385681152344e-05	Dart	
26	2.0	10.0	8085727	-1.1415926	3.504753112792969e-05	Dart	
27	3.6	10.0	1597897	0.4584074	3.504753112792969e-05	Dart	
28	3.2	10.0	7315182	0.0584074	3.719329833984375e-05	Dart	
29	3.6	10.0	8379747	0.4584074	3.5762786865234375e-05	Dart	
30	4.0	10.0	1782824	0.8584074	3.600120544433594e-05	Dart	
31	1.6	10.0	149594	-1.5415926	3.62396240234375e-05	Dart	
32	2.4	10.0	3435752	-0.7415926	3.4809112548828125e-05	Dart	
33	3.6	10.0	7085847	0.4584074	3.504753112792969e-05	Dart	
34	3.2	10.0	8403117	0.0584074	3.62396240234375e-05	Dart	
35	3.6	10.0	6334741	0.4584074	3.5762786865234375e-05	Dart	
36	3.2	10.0	8654441	0.0584074	3.600120544433594e-05	Dart	
37	3.6	10.0	4214748	0.4584074	3.600120544433594e-05	Dart	
38	3.2	10.0	2680750	0.0584074	3.4809112548828125e-05	Dart	
39	2.4	10.0	1648673	-0.7415926	3.600120544433594e-05	Dart	
40	3.2	10.0	3158844	0.0584074	3.504753112792969e-05	Dart	
41	3.2	10.0	4592130	0.0584074	3.4809112548828125e-05	Dart	
42	2.8	10.0	3418173	-0.3415926	3.504753112792969e-05	Dart	
43	3.2	10.0	1238662	0.0584074	3.504753112792969e-05	Dart	
44	3.2	10.0	821090	0.0584074	3.528594970703125e-05	Dart	
45	3.6	10.0	576779	0.4584074	3.504753112792969e-05	Dart	
46	2.8	10.0	5964754	-0.3415926	3.600120544433594e-05	Dart	
47	2.8	10.0	853988	-0.3415926	3.5762786865234375e-05	Dart	
48	3.2	10.0	8503865	0.0584074	3.695487976074219e-05	Dart	
49	2.0	10.0	6103042	-1.1415926	3.528594970703125e-05	Dart	
50	3.2	10.0	76164	0.0584074	3.5762786865234375e-05	Dart	
51	3.6	10.0	3282141	0.4584074	3.62396240234375e-05	Dart	
52	2.0	10.0	2673957	-1.1415926	3.504753112792969e-05	Dart	
53	2.0	10.0	4743935	-1.1415926	3.4809112548828125e-05	Dart	
54	3.6	10.0	4959845	0.4584074	3.600120544433594e-05	Dart	
55	3.6	10.0	2461505	0.4584074	3.62396240234375e-05	Dart	
56	2.8	10.0	9788967	-0.3415926	3.719329833984375e-05	Dart	
57	4.0	10.0	2743433	0.8584074	3.504753112792969e-05	Dart	
58	2.8	10.0	2554742	-0.3415926	3.504753112792969e-05	Dart	
59	3.6	10.0	4662856	0.4584074	3.4809112548828125e-05	Dart	
60	3.2	10.0	9589029	0.0584074	3.5762786865234375e-05	Dart	
61	3.6	10.0	2125054	0.4584074	3.504753112792969e-05	Dart	
62	4.0	10.0	1510811	0.8584074	4.100799560546875e-05	Dart	
63	2.8	10.0	7866497	-0.3415926	3.600120544433594e-05	Dart	
64	3.2	10.0	4095908	0.0584074	3.4809112548828125e-05	Dart	
65	3.2	10.0	8046526	0.0584074	3.504753112792969e-05	Dart	
66	2.8	10.0	354973	-0.3415926	3.600120544433594e-05	Dart	
67	1.6	10.0	3594744	-1.5415926	3.4809112548828125e-05	Dart	
68	3.2	10.0	1837175	0.0584074	3.600120544433594e-05	Dart	
69	3.6	10.0	775425	0.4584074	3.719329833984375e-05	Dart	
70	3.2	10.0	56103	0.0584074	4.410743713378906e-05	Dart	
71	3.6	10.0	1111589	0.4584074	2.8848648071289062e-05	Dart	
72	3.6	10.0	639102	0.4584074	2.9087066650390625e-05	Dart	
73	3.6	10.0	8175522	0.4584074	2.9087066650390625e-05	Dart	
74	3.2	10.0	5804323	0.0584074	2.8133392333984375e-05	Dart	
75	4.0	10.0	7001921	0.8584074	2.9087066650390625e-05	Dart	
76	3.2	10.0	3737170	0.0584074	3.0040740966796875e-05	Dart	
77	3.2	10.0	3859788	0.0584074	6.079673767089844e-05	Dart	
78	2.8	10.0	5805853	-0.3415926	2.8848648071289062e-05	Dart	
79	2.8	10.0	4476568	-0.3415926	2.9087066650390625e-05	Dart	
80	2.4	10.0	8533208	-0.7415926	2.9087066650390625e-05	Dart	
81	3.2	10.0	5497354	0.0584074	2.7894973754882812e-05	Dart	
82	3.6	10.0	6767230	0.4584074	2.9802322387695312e-05	Dart	
83	3.6	10.0	7908617	0.4584074	2.8848648071289062e-05	Dart	
84	2.4	10.0	178993	-0.7415926	2.9087066650390625e-05	Dart	
85	2.0	10.0	2806775	-1.1415926	2.8848648071289062e-05	Dart	
86	2.8	10.0	4796897	-0.3415926	3.0040740966796875e-05	Dart	
87	3.6	10.0	1644821	0.4584074	2.8848648071289062e-05	Dart	
88	2.8	10.0	116628	-0.3415926	2.8848648071289062e-05	Dart	
89	3.2	10.0	6504772	0.0584074	3.0040740966796875e-05	Dart	
90	3.2	10.0	2772788	0.0584074	2.9087066650390625e-05	Dart	
