ID	Pi Hat	CntProbe	SeedInit	Error	RunTime	Experiment	
1	2.5	10.0	297997	-0.6415926536	3.981590270996094e-05	Parallel	
2	2.5	10.0	5108561	-0.6415926536	3.886222839355469e-05	Parallel	
3	4.0	10.0	4412329	0.8584073464	3.790855407714844e-05	Parallel	
4	2.8571428571	10.0	3808485	-0.2844497964	3.719329833984375e-05	Parallel	
5	2.2222222222	10.0	98911	-0.9193704314	3.6716461181640625e-05	Parallel	
6	3.3333333333	10.0	9632571	0.1917406797	3.695487976074219e-05	Parallel	
7	2.8571428571	10.0	9127104	-0.2844497964	3.719329833984375e-05	Parallel	
8	2.2222222222	10.0	1336778	-0.9193704314	3.814697265625e-05	Parallel	
9	2.2222222222	10.0	7811552	-0.9193704314	3.695487976074219e-05	Parallel	
10	4.0	10.0	7207563	0.8584073464	3.695487976074219e-05	Parallel	
11	2.5	10.0	806168	-0.6415926536	3.719329833984375e-05	Parallel	
12	4.0	10.0	6332574	0.8584073464	3.695487976074219e-05	Parallel	
13	5.0	10.0	152846	1.8584073464	3.600120544433594e-05	Parallel	
14	6.6666666667	10.0	7703988	3.5250740131	3.6716461181640625e-05	Parallel	
15	4.0	10.0	8601024	0.8584073464	3.600120544433594e-05	Parallel	
16	5.0	10.0	2071897	1.8584073464	3.695487976074219e-05	Parallel	
17	3.3333333333	10.0	4817775	0.1917406797	3.600120544433594e-05	Parallel	
18	2.8571428571	10.0	5946572	-0.2844497964	3.62396240234375e-05	Parallel	
19	4.0	10.0	7191820	0.8584073464	3.600120544433594e-05	Parallel	
20	3.3333333333	10.0	5904819	0.1917406797	3.600120544433594e-05	Parallel	
21	2.8571428571	10.0	5058180	-0.2844497964	3.600120544433594e-05	Parallel	
22	2.8571428571	10.0	3199223	-0.2844497964	3.695487976074219e-05	Parallel	
23	4.0	10.0	7917799	0.8584073464	3.6716461181640625e-05	Parallel	
24	2.8571428571	10.0	8930077	-0.2844497964	3.600120544433594e-05	Parallel	
25	2.8571428571	10.0	5269520	-0.2844497964	4.00543212890625e-05	Parallel	
26	2.5	10.0	4022919	-0.6415926536	3.5762786865234375e-05	Parallel	
27	5.0	10.0	6600877	1.8584073464	3.62396240234375e-05	Parallel	
28	2.5	10.0	1450708	-0.6415926536	3.62396240234375e-05	Parallel	
29	4.0	10.0	6626632	0.8584073464	3.504753112792969e-05	Parallel	
30	3.3333333333	10.0	7714124	0.1917406797	3.981590270996094e-05	Parallel	
31	3.3333333333	10.0	1661012	0.1917406797	3.6716461181640625e-05	Parallel	
32	3.3333333333	10.0	963323	0.1917406797	3.504753112792969e-05	Parallel	
33	2.5	10.0	3239664	-0.6415926536	3.600120544433594e-05	Parallel	
34	2.8571428571	10.0	4947524	-0.2844497964	3.600120544433594e-05	Parallel	
35	4.0	10.0	323083	0.8584073464	3.62396240234375e-05	Parallel	
36	4.0	10.0	4264280	0.8584073464	3.504753112792969e-05	Parallel	
37	2.5	10.0	1118649	-0.6415926536	3.62396240234375e-05	Parallel	
38	3.3333333333	10.0	5937451	0.1917406797	3.600120544433594e-05	Parallel	
39	5.0	10.0	3439192	1.8584073464	5.698204040527344e-05	Parallel	
40	4.0	10.0	3948489	0.8584073464	4.792213439941406e-05	Parallel	
41	2.8571428571	10.0	687316	-0.2844497964	3.5762786865234375e-05	Parallel	
42	2.8571428571	10.0	4698533	-0.2844497964	3.504753112792969e-05	Parallel	
43	3.3333333333	10.0	6716295	0.1917406797	3.504753112792969e-05	Parallel	
44	2.2222222222	10.0	1991017	-0.9193704314	3.600120544433594e-05	Parallel	
45	2.2222222222	10.0	4056759	-0.9193704314	8.7738037109375e-05	Parallel	
46	2.8571428571	10.0	2490995	-0.2844497964	6.794929504394531e-05	Parallel	
