Experiment	Seed	Pi	Error	OFTol	Significant Figures:	ID	CntProbeLmt	CntProbe	IsCensored	RunTime	
Dart	8470901	3.1351351351	-0.0064574649	0.05	1	2	15625000000	37.0	False	8.96453857421875e-05	
Dart	2921610	3.0769230769	-0.0646695231	0.05	1	3	15625000000	13.0	False	3.6716461181640625e-05	
Dart	7568108	3.1111111111	-0.0304814889	0.05	1	4	15625000000	9.0	False	2.8848648071289062e-05	
Dart	4427901	3.0769230769	-0.0646695231	0.05	1	5	15625000000	13.0	False	3.600120544433594e-05	
Dart	4832973	3.0769230769	-0.0646695231	0.05	1	6	15625000000	13.0	False	3.528594970703125e-05	
Dart	3682162	3.1111111111	-0.0304814889	0.05	1	7	15625000000	54.0	False	0.00011801719665527344	
Dart	2634532	3.1111111111	-0.0304814889	0.05	1	8	15625000000	9.0	False	2.7894973754882812e-05	
Dart	4006678	3.1111111111	-0.0304814889	0.05	1	9	15625000000	9.0	False	2.765655517578125e-05	
Dart	8056575	3.1111111111	-0.0304814889	0.05	1	10	15625000000	9.0	False	3.0994415283203125e-05	
Dart	7743249	3.1490414348	0.0074488348	0.05	1	11	15625000000	1617.0	False	0.0033407211303710938	
Dart	2389778	3.0769230769	-0.0646695231	0.05	1	12	15625000000	13.0	False	3.790855407714844e-05	
Dart	2059687	3.1493758071	0.0077832071	0.05	1	13	15625000000	2323.0	False	0.004755973815917969	
Dart	3599864	3.1111111111	-0.0304814889	0.05	1	14	15625000000	9.0	False	2.956390380859375e-05	
Dart	6492174	3.0769230769	-0.0646695231	0.05	1	15	15625000000	13.0	False	3.62396240234375e-05	
Dart	3072524	3.1111111111	-0.0304814889	0.05	1	16	15625000000	9.0	False	2.8133392333984375e-05	
Dart	6926138	3.1111111111	-0.0304814889	0.05	1	17	15625000000	9.0	False	2.7894973754882812e-05	
Dart	379228	3.140625	-0.0009676	0.05	1	18	15625000000	256.0	False	0.0005159378051757812	
Dart	7170814	3.1111111111	-0.0304814889	0.05	1	19	15625000000	9.0	False	3.24249267578125e-05	
Dart	2744391	3.0769230769	-0.0646695231	0.05	1	20	15625000000	13.0	False	3.600120544433594e-05	
Dart	4243784	3.1111111111	-0.0304814889	0.05	1	21	15625000000	9.0	False	2.7894973754882812e-05	
Dart	3108392	3.1111111111	-0.0304814889	0.05	1	22	15625000000	9.0	False	2.7894973754882812e-05	
Dart	849226	3.1111111111	-0.0304814889	0.05	1	23	15625000000	9.0	False	2.765655517578125e-05	
Dart	4311353	3.1	-0.0415926	0.05	1	24	15625000000	40.0	False	9.34600830078125e-05	
Dart	6712780	3.0769230769	-0.0646695231	0.05	1	25	15625000000	13.0	False	3.552436828613281e-05	
Dart	8289892	3.1428571429	0.0012645429	0.05	1	26	15625000000	84.0	False	0.00018072128295898438	
Dart	3322027	3.1111111111	-0.0304814889	0.05	1	27	15625000000	27.0	False	6.842613220214844e-05	
Dart	8871937	3.1428571429	0.0012645429	0.05	1	28	15625000000	56.0	False	0.000125885009765625	
Dart	3458805	3.1428571429	0.0012645429	0.05	1	29	15625000000	14.0	False	3.838539123535156e-05	
Dart	7009336	3.1111111111	-0.0304814889	0.05	1	30	15625000000	9.0	False	4.506111145019531e-05	
Dart	5510848	3.1468531469	0.0052605469	0.05	1	31	15625000000	286.0	False	0.0005857944488525391	
Dart	4256857	3.1111111111	-0.0304814889	0.05	1	32	15625000000	9.0	False	2.7894973754882812e-05	
