sampleId	piHat	cntProbe	isCensored	seedInit	OFError	signifDigits	runtime	solverName	
1	3.1	9.0	FALSE	4080651	0.030481488888888908	2	4.673004150390625e-05	Dart	
2	3.1	221.0	FALSE	9777707	0.04656997556561082	2	0.0005650520324707031	Dart	
3	3.1	18.0	FALSE	5594010	0.030481488888888908	2	4.291534423828125e-05	Dart	
4	3.1	9.0	FALSE	411514	0.030481488888888908	2	2.288818359375e-05	Dart	
5	3.1	28.0	FALSE	9166466	0.0012645428571427253	2	6.198883056640625e-05	Dart	
6	3.2	146.0	FALSE	8847181	0.03648959178082167	2	0.0003070831298828125	Dart	
7	3.1	9.0	FALSE	4216272	0.030481488888888908	2	2.2649765014648438e-05	Dart	
8	3.2	24.0	FALSE	3228581	0.02507406666666645	2	5.316734313964844e-05	Dart	
9	3.2	19.0	FALSE	8601397	0.01630213684210524	2	4.1961669921875e-05	Dart	
10	3.1	45.0	FALSE	6159652	0.030481488888888908	2	0.00019311904907226562	Dart	
11	3.1	23.0	FALSE	7661313	0.011157817391304281	2	0.00010704994201660156	Dart	
12	3.1	9.0	FALSE	6188979	0.030481488888888908	2	4.601478576660156e-05	Dart	
13	3.1	9.0	FALSE	9536575	0.030481488888888908	2	4.410743713378906e-05	Dart	
14	3.1	40.0	FALSE	3412662	0.04159259999999998	2	0.00017690658569335938	Dart	
15	3.1	40.0	FALSE	5239717	0.04159259999999998	2	0.00017881393432617188	Dart	
16	3.1	23.0	FALSE	7777658	0.011157817391304281	2	0.00010395050048828125	Dart	
17	3.1	14.0	FALSE	6720645	0.0012645428571427253	2	6.723403930664062e-05	Dart	
18	3.1	14.0	FALSE	3407308	0.0012645428571427253	2	6.580352783203125e-05	Dart	
19	3.2	19.0	FALSE	9115320	0.01630213684210524	2	8.797645568847656e-05	Dart	
20	3.2	207.0	FALSE	8613244	0.046813197101449155	2	0.000431060791015625	Dart	
21	3.1	9.0	FALSE	7175926	0.030481488888888908	2	2.3126602172851562e-05	Dart	
22	3.1	9.0	FALSE	1835832	0.030481488888888908	2	2.2172927856445312e-05	Dart	
23	3.1	9.0	FALSE	3629518	0.030481488888888908	2	2.3126602172851562e-05	Dart	
24	3.1	159.0	FALSE	5232736	0.04725297735849043	2	0.00032806396484375	Dart	
25	3.1	9.0	FALSE	2369417	0.030481488888888908	2	2.09808349609375e-05	Dart	
26	3.1	36.0	FALSE	3419501	0.030481488888888908	2	7.82012939453125e-05	Dart	
27	3.1	9.0	FALSE	6989926	0.030481488888888908	2	2.1696090698242188e-05	Dart	
28	3.1	14.0	FALSE	5503502	0.0012645428571427253	2	3.1948089599609375e-05	Dart	
29	3.1	40.0	FALSE	95148	0.04159259999999998	2	8.511543273925781e-05	Dart	
30	3.1	9.0	FALSE	9498356	0.030481488888888908	2	2.2172927856445312e-05	Dart	
31	3.1	23.0	FALSE	9888284	0.011157817391304281	2	5.1021575927734375e-05	Dart	
32	3.1	9.0	FALSE	3825453	0.030481488888888908	2	2.09808349609375e-05	Dart	
33	3.1	23.0	FALSE	1939637	0.011157817391304281	2	5.125999450683594e-05	Dart	
34	3.2	19.0	FALSE	2766127	0.01630213684210524	2	4.1961669921875e-05	Dart	
35	3.2	33.0	FALSE	3990670	0.009922551515151312	2	7.081031799316406e-05	Dart	
36	3.1	9.0	FALSE	2769192	0.030481488888888908	2	2.09808349609375e-05	Dart	
37	3.1	27.0	FALSE	860922	0.030481488888888908	2	5.91278076171875e-05	Dart	
38	3.1	309.0	FALSE	3614268	0.04774146731391582	2	0.0012001991271972656	Dart	
39	3.2	231.0	FALSE	6998596	0.044554586147186104	2	0.0010192394256591797	Dart	
40	3.1	9.0	FALSE	4839116	0.030481488888888908	2	4.696846008300781e-05	Dart	
41	3.1	9.0	FALSE	3940226	0.030481488888888908	2	4.410743713378906e-05	Dart	
42	3.1	27.0	FALSE	3034531	0.030481488888888908	2	0.00012302398681640625	Dart	
43	3.1	9.0	FALSE	3664120	0.030481488888888908	2	4.506111145019531e-05	Dart	
44	3.1	168.0	FALSE	5018648	0.046354504761904725	2	0.0007221698760986328	Dart	
45	3.1	9.0	FALSE	4436931	0.030481488888888908	2	3.814697265625e-05	Dart	
46	3.1	71.0	FALSE	4212284	0.04300105070422555	2	0.00026702880859375	Dart	
47	3.1	9.0	FALSE	9659422	0.030481488888888908	2	4.100799560546875e-05	Dart	
48	3.2	48.0	FALSE	4619513	0.02507406666666645	2	0.00019097328186035156	Dart	
49	3.1	9.0	FALSE	1620018	0.030481488888888908	2	4.1961669921875e-05	Dart	
50	3.1	14.0	FALSE	8427486	0.0012645428571427253	2	5.1975250244140625e-05	Dart	
51	3.1	9.0	FALSE	6012978	0.030481488888888908	2	3.62396240234375e-05	Dart	
52	3.1	27.0	FALSE	893036	0.030481488888888908	2	0.00012493133544921875	Dart	
53	3.1	9.0	FALSE	3137978	0.030481488888888908	2	4.076957702636719e-05	Dart	
54	3.1	9.0	FALSE	8765576	0.030481488888888908	2	7.224082946777344e-05	Dart	
55	3.1	9.0	FALSE	2243744	0.030481488888888908	2	7.009506225585938e-05	Dart	
56	3.2	105.0	FALSE	814178	0.020312161904761705	2	0.00024771690368652344	Dart	
57	3.1	27.0	FALSE	6679571	0.030481488888888908	2	7.796287536621094e-05	Dart	
58	3.1	14.0	FALSE	9910736	0.0012645428571427253	2	4.291534423828125e-05	Dart	
59	3.1	27.0	FALSE	1564106	0.030481488888888908	2	8.916854858398438e-05	Dart	
60	3.1	9.0	FALSE	636645	0.030481488888888908	2	3.0040740966796875e-05	Dart	
61	3.1	9.0	FALSE	7779240	0.030481488888888908	2	4.00543212890625e-05	Dart	
62	3.1	9.0	FALSE	964029	0.030481488888888908	2	3.0040740966796875e-05	Dart	
63	3.1	14.0	FALSE	2908579	0.0012645428571427253	2	8.392333984375e-05	Dart	
64	3.1	93.0	FALSE	6102617	0.04481840645161306	2	0.0004241466522216797	Dart	
65	3.2	88.0	FALSE	2303903	0.04022558181818159	2	0.0004551410675048828	Dart	
66	3.2	52.0	FALSE	7614230	0.012253553846153675	2	0.00032782554626464844	Dart	
67	3.1	9.0	FALSE	4048493	0.030481488888888908	2	5.078315734863281e-05	Dart	
68	3.1	18.0	FALSE	6726716	0.030481488888888908	2	9.894371032714844e-05	Dart	
69	3.1	9.0	FALSE	8405256	0.030481488888888908	2	4.506111145019531e-05	Dart	
70	3.1	23.0	FALSE	4809730	0.011157817391304281	2	0.00010704994201660156	Dart	
71	3.1	9.0	FALSE	5019523	0.030481488888888908	2	4.6253204345703125e-05	Dart	
72	3.1	62.0	FALSE	7560532	0.04481840645161306	2	0.0003180503845214844	Dart	
73	3.1	14.0	FALSE	1292189	0.0012645428571427253	2	6.318092346191406e-05	Dart	
74	3.1	9.0	FALSE	3499075	0.030481488888888908	2	2.6226043701171875e-05	Dart	
75	3.1	32.0	FALSE	7363489	0.01659260000000007	2	7.295608520507812e-05	Dart	
76	3.1	9.0	FALSE	3287898	0.030481488888888908	2	2.384185791015625e-05	Dart	
77	3.1	9.0	FALSE	4608177	0.030481488888888908	2	2.384185791015625e-05	Dart	
78	3.1	18.0	FALSE	4880523	0.030481488888888908	2	4.315376281738281e-05	Dart	
79	3.1	9.0	FALSE	1312293	0.030481488888888908	2	2.3126602172851562e-05	Dart	
80	3.1	9.0	FALSE	9592133	0.030481488888888908	2	2.3126602172851562e-05	Dart	
81	3.1	9.0	FALSE	6837827	0.030481488888888908	2	2.193450927734375e-05	Dart	
82	3.1	9.0	FALSE	3456664	0.030481488888888908	2	2.3126602172851562e-05	Dart	
83	3.1	23.0	FALSE	5990304	0.011157817391304281	2	5.698204040527344e-05	Dart	
84	3.2	29.0	FALSE	2191287	0.03082119310344833	2	6.699562072753906e-05	Dart	
85	3.1	80.0	FALSE	1336577	0.04159259999999998	2	0.0002589225769042969	Dart	
86	3.1	14.0	FALSE	5973271	0.0012645428571427253	2	7.390975952148438e-05	Dart	
87	3.1	28.0	FALSE	2394321	0.0012645428571427253	2	0.0001010894775390625	Dart	
88	3.2	63.0	FALSE	7121080	0.03301057460317436	2	0.0001499652862548828	Dart	
89	3.1	36.0	FALSE	4731871	0.030481488888888908	2	8.392333984375e-05	Dart	
90	3.1	9.0	FALSE	5527546	0.030481488888888908	2	2.5033950805664062e-05	Dart	
91	3.1	62.0	FALSE	5092127	0.04481840645161306	2	0.00014591217041015625	Dart	
92	3.1	9.0	FALSE	9455481	0.030481488888888908	2	3.695487976074219e-05	Dart	
93	3.1	9.0	FALSE	1219039	0.030481488888888908	2	3.790855407714844e-05	Dart	
94	3.1	9.0	FALSE	9632502	0.030481488888888908	2	3.719329833984375e-05	Dart	
95	3.1	212.0	FALSE	9816076	0.04725297735849043	2	0.0008358955383300781	Dart	
96	3.1	9.0	FALSE	8763434	0.030481488888888908	2	4.291534423828125e-05	Dart	
97	3.1	40.0	FALSE	8070722	0.04159259999999998	2	0.000186920166015625	Dart	
98	3.1	150.0	FALSE	7021416	0.0482592666666668	2	0.0005960464477539062	Dart	
99	3.1	9.0	FALSE	7200848	0.030481488888888908	2	4.673004150390625e-05	Dart	
100	3.14	42.0	FALSE	5162721	0.0012645428571427253	3	0.00019812583923339844	Dart	
101	3.14	223.0	FALSE	1014557	0.002579147085201683	3	0.0004627704620361328	Dart	
102	3.14	299.0	FALSE	2811347	0.0022201090301003923	3	0.0006220340728759766	Dart	
103	3.14	14.0	FALSE	3493275	0.0012645428571427253	3	3.2901763916015625e-05	Dart	
104	3.14	112.0	FALSE	6730452	0.0012645428571427253	3	0.0003409385681152344	Dart	
105	3.14	56.0	FALSE	968663	0.0012645428571427253	3	0.00011897087097167969	Dart	
106	3.14	246.0	FALSE	9324053	0.0033812178861789555	3	0.0005109310150146484	Dart	
107	3.14	51.0	FALSE	1840550	0.004337698039215798	3	0.00011110305786132812	Dart	
108	3.14	159.0	FALSE	7167740	0.003061488050314587	3	0.0004367828369140625	Dart	
109	3.14	84.0	FALSE	6668405	0.0012645428571427253	3	0.00031828880310058594	Dart	
110	3.14	56.0	FALSE	1604068	0.0012645428571427253	3	0.0002319812774658203	Dart	
111	3.14	28.0	FALSE	7418071	0.0012645428571427253	3	0.00011587142944335938	Dart	
112	3.14	153.0	FALSE	4653526	0.004337698039215798	3	0.0006489753723144531	Dart	
113	3.14	529.0	FALSE	7497467	0.003596380718336345	3	0.002118825912475586	Dart	
114	3.14	28.0	FALSE	1848525	0.0012645428571427253	3	0.00012493133544921875	Dart	
115	3.14	144.0	FALSE	3482200	0.002703711111111229	3	0.0005779266357421875	Dart	
116	3.14	28.0	FALSE	3833404	0.0012645428571427253	3	0.00012111663818359375	Dart	
117	3.14	121.0	FALSE	6518161	0.001096732231404829	3	0.0005049705505371094	Dart	
118	3.14	112.0	FALSE	5964282	0.0012645428571427253	3	0.0005059242248535156	Dart	
119	3.14	112.0	FALSE	9818223	0.0012645428571427253	3	0.00045609474182128906	Dart	
120	3.14	158.0	FALSE	8826766	0.0023520936708862905	3	0.0006439685821533203	Dart	
121	3.14	14.0	FALSE	9759803	0.0012645428571427253	3	6.29425048828125e-05	Dart	
122	3.14	219.0	FALSE	3261644	4.008858447512864e-05	3	0.0008108615875244141	Dart	
123	3.14	14.0	FALSE	9539884	0.0012645428571427253	3	5.91278076171875e-05	Dart	
124	3.14	28.0	FALSE	7473884	0.0012645428571427253	3	0.000102996826171875	Dart	
125	3.14	28.0	FALSE	4970336	0.0012645428571427253	3	0.0001430511474609375	Dart	
126	3.14	14.0	FALSE	1051795	0.0012645428571427253	3	5.602836608886719e-05	Dart	
127	3.14	214.0	FALSE	69224	0.0014056841121496966	3	0.0008580684661865234	Dart	
128	3.14	14.0	FALSE	8193474	0.0012645428571427253	3	7.82012939453125e-05	Dart	
129	3.14	28.0	FALSE	7571346	0.0012645428571427253	3	0.00010395050048828125	Dart	
130	3.15	1153.0	FALSE	1060850	0.00498155437987835	3	0.003290891647338867	Dart	
131	3.14	149.0	FALSE	2796440	0.0006530026845639192	3	0.0003237724304199219	Dart	
132	3.14	56.0	FALSE	7917124	0.0012645428571427253	3	0.00012683868408203125	Dart	
133	3.14	65.0	FALSE	7628834	0.0031310615384616547	3	0.00013899803161621094	Dart	
134	3.14	14.0	FALSE	1463455	0.0012645428571427253	3	3.409385681152344e-05	Dart	
135	3.14	14.0	FALSE	7284197	0.0012645428571427253	3	3.886222839355469e-05	Dart	
136	3.14	42.0	FALSE	4139133	0.0012645428571427253	3	0.00010633468627929688	Dart	
137	3.14	112.0	FALSE	6443688	0.0012645428571427253	3	0.00034880638122558594	Dart	
138	3.14	84.0	FALSE	2744527	0.0012645428571427253	3	0.00030517578125	Dart	
139	3.15	931.0	FALSE	219752	0.0034127705692803545	3	0.0020127296447753906	Dart	
140	3.15	1026.0	FALSE	6676295	0.004606230409356815	3	0.0023207664489746094	Dart	
141	3.14	14.0	FALSE	5638688	0.0012645428571427253	3	6.67572021484375e-05	Dart	
142	3.14	98.0	FALSE	1664907	0.0012645428571427253	3	0.00039768218994140625	Dart	
143	3.14	14.0	FALSE	9842563	0.0012645428571427253	3	6.4849853515625e-05	Dart	
144	3.14	28.0	FALSE	8128968	0.0012645428571427253	3	0.00011801719665527344	Dart	
145	3.14	79.0	FALSE	5005727	0.0023520936708862905	3	0.000331878662109375	Dart	
146	3.15	89.0	FALSE	7027198	0.004474815730337145	3	0.0003719329833984375	Dart	
147	3.14	246.0	FALSE	5113140	0.0033812178861789555	3	0.0009489059448242188	Dart	
148	3.14	209.0	FALSE	6586442	0.0028366191387561024	3	0.0007119178771972656	Dart	
149	3.14	51.0	FALSE	9120091	0.004337698039215798	3	0.00011706352233886719	Dart	
150	3.14	1126.0	FALSE	6086386	0.004825282060390901	3	0.0024352073669433594	Dart	
151	3.14	271.0	FALSE	4911604	0.0023188391143911247	3	0.0005757808685302734	Dart	
152	3.14	28.0	FALSE	6170487	0.0012645428571427253	3	6.318092346191406e-05	Dart	
153	3.14	42.0	FALSE	7050654	0.0012645428571427253	3	9.202957153320312e-05	Dart	
154	3.14	556.0	FALSE	9444425	0.004901952517985642	3	0.0011560916900634766	Dart	
155	3.14	14.0	FALSE	8412447	0.0012645428571427253	3	3.218650817871094e-05	Dart	
156	3.14	28.0	FALSE	7339806	0.0012645428571427253	3	6.103515625e-05	Dart	
157	3.14	14.0	FALSE	3292212	0.0012645428571427253	3	3.1948089599609375e-05	Dart	
158	3.14	79.0	FALSE	5622688	0.0023520936708862905	3	0.0001659393310546875	Dart	
159	3.15	89.0	FALSE	7130150	0.004474815730337145	3	0.00018715858459472656	Dart	
160	3.14	70.0	FALSE	5354750	0.0012645428571427253	3	0.0001468658447265625	Dart	
161	3.14	28.0	FALSE	1090239	0.0012645428571427253	3	6.103515625e-05	Dart	
162	3.14	14.0	FALSE	8072249	0.0012645428571427253	3	3.1948089599609375e-05	Dart	
163	3.14	14.0	FALSE	4168804	0.0012645428571427253	3	3.1948089599609375e-05	Dart	
164	3.14	14.0	FALSE	4471867	0.0012645428571427253	3	3.218650817871094e-05	Dart	
165	3.14	501.0	FALSE	7890549	0.003868049101796611	3	0.0010399818420410156	Dart	
166	3.14	760.0	FALSE	7643752	0.004750494736842192	3	0.0015759468078613281	Dart	
167	3.14	14.0	FALSE	6097379	0.0012645428571427253	3	3.1948089599609375e-05	Dart	
168	3.15	267.0	FALSE	3725590	0.004474815730337145	3	0.0005550384521484375	Dart	
169	3.14	65.0	FALSE	9398452	0.0031310615384616547	3	0.00013589859008789062	Dart	
170	3.14	42.0	FALSE	2001721	0.0012645428571427253	3	9.083747863769531e-05	Dart	
171	3.14	14.0	FALSE	8714915	0.0012645428571427253	3	3.314018249511719e-05	Dart	
172	3.14	139.0	FALSE	7336450	0.004901952517985642	3	0.0003020763397216797	Dart	
173	3.14	121.0	FALSE	299008	0.001096732231404829	3	0.0002570152282714844	Dart	
174	3.14	14.0	FALSE	8735517	0.0012645428571427253	3	3.266334533691406e-05	Dart	
175	3.14	14.0	FALSE	4223473	0.0012645428571427253	3	3.1948089599609375e-05	Dart	
176	3.15	440.0	FALSE	4960009	0.0038619454545454346	3	0.0009322166442871094	Dart	
177	3.14	28.0	FALSE	8255292	0.0012645428571427253	3	6.389617919921875e-05	Dart	
178	3.14	56.0	FALSE	9475271	0.0012645428571427253	3	0.00012183189392089844	Dart	
179	3.14	14.0	FALSE	444966	0.0012645428571427253	3	6.413459777832031e-05	Dart	
180	3.14	126.0	FALSE	5392163	0.0012645428571427253	3	0.0005180835723876953	Dart	
181	3.14	149.0	FALSE	4766674	0.0006530026845639192	3	0.0003972053527832031	Dart	
182	3.14	51.0	FALSE	2933696	0.004337698039215798	3	0.00011110305786132812	Dart	
183	3.14	374.0	FALSE	5323918	0.002792426737967979	3	0.0007810592651367188	Dart	
184	3.15	131.0	FALSE	6941284	0.0034455679389311378	3	0.0002751350402832031	Dart	
185	3.14	14.0	FALSE	1636707	0.0012645428571427253	3	3.1948089599609375e-05	Dart	
186	3.14	28.0	FALSE	9441093	0.0012645428571427253	3	6.031990051269531e-05	Dart	
187	3.14	28.0	FALSE	3863621	0.0012645428571427253	3	5.984306335449219e-05	Dart	
188	3.14	28.0	FALSE	289797	0.0012645428571427253	3	6.008148193359375e-05	Dart	
189	3.14	14.0	FALSE	9467729	0.0012645428571427253	3	3.314018249511719e-05	Dart	
190	3.14	56.0	FALSE	7513435	0.0012645428571427253	3	0.00013589859008789062	Dart	
191	3.14	28.0	FALSE	2266480	0.0012645428571427253	3	0.00010085105895996094	Dart	
192	3.14	14.0	FALSE	2460582	0.0012645428571427253	3	5.412101745605469e-05	Dart	
193	3.14	51.0	FALSE	6911838	0.004337698039215798	3	0.00011301040649414062	Dart	
194	3.14	228.0	FALSE	481420	0.00124172280701762	3	0.0008938312530517578	Dart	
195	3.14	14.0	FALSE	675776	0.0012645428571427253	3	3.4809112548828125e-05	Dart	
196	3.14	238.0	FALSE	3582918	0.0012645428571427253	3	0.0005071163177490234	Dart	
197	3.14	28.0	FALSE	9163075	0.0012645428571427253	3	6.175041198730469e-05	Dart	
198	3.14	28.0	FALSE	8383968	0.0012645428571427253	3	6.103515625e-05	Dart	
199	3.14	116.0	FALSE	705447	0.003661565517241616	3	0.00024700164794921875	Dart	
200	3.141	587.0	FALSE	2707063	0.0001956664395228458	4	0.0013871192932128906	Dart	
201	3.142	494.0	FALSE	7412018	0.00010780485829942066	4	0.0011320114135742188	Dart	
202	3.142	233.0	FALSE	5068376	3.8301287553554886e-05	4	0.0004837512969970703	Dart	
203	3.142	247.0	FALSE	7721596	0.00010780485829942066	4	0.000514984130859375	Dart	
204	3.141	163.0	FALSE	1493207	0.0004883055214723875	4	0.0003399848937988281	Dart	
205	3.141	177.0	FALSE	8763574	0.00034966214689280406	4	0.00037789344787597656	Dart	
206	3.141	191.0	FALSE	6853307	0.000231343455497246	4	0.0003991127014160156	Dart	
207	3.141	177.0	FALSE	8591830	0.00034966214689280406	4	0.00036978721618652344	Dart	
208	3.141	3070.0	FALSE	4323505	0.00022452182410415134	4	0.006500959396362305	Dart	
