sampleId	piHat	cntProbe	isCensored	seedInit	OFError	signifDigits	runtime	solverName	
1	3.1	22.0	FALSE	3153167	0.0012644892671427321	2	7.581710815429688e-05	Needles1	
2	3.1	11.0	FALSE	7189039	0.0012644892671427321	2	4.00543212890625e-05	Needles1	
3	3.1	22.0	FALSE	4806826	0.0012644892671427321	2	7.200241088867188e-05	Needles1	
4	3.1	11.0	FALSE	7631871	0.0012644892671427321	2	3.886222839355469e-05	Needles1	
5	3.1	22.0	FALSE	1650789	0.0012644892671427321	2	7.295608520507812e-05	Needles1	
6	3.1	55.0	FALSE	5790950	0.0012644892671427321	2	0.0003120899200439453	Needles1	
7	3.1	146.0	FALSE	672901	0.001807707353441046	2	0.000823974609375	Needles1	
8	3.1	66.0	FALSE	8223653	0.0012644892671427321	2	0.0003859996795654297	Needles1	
9	3.1	22.0	FALSE	135379	0.0012644892671427321	2	0.00010395050048828125	Needles1	
10	3.1	102.0	FALSE	7639321	0.003131115128461648	2	0.00045800209045410156	Needles1	
11	3.1	66.0	FALSE	2225742	0.0012644892671427321	2	0.0002980232238769531	Needles1	
12	3.1	88.0	FALSE	9475061	0.0012644892671427321	2	0.0003972053527832031	Needles1	
13	3.1	66.0	FALSE	7787493	0.0012644892671427321	2	0.00029587745666503906	Needles1	
14	3.1	22.0	FALSE	4759985	0.0012644892671427321	2	0.000102996826171875	Needles1	
15	3.1	22.0	FALSE	5688322	0.0012644892671427321	2	0.000102996826171875	Needles1	
16	3.1	11.0	FALSE	8790901	0.0012644892671427321	2	5.2928924560546875e-05	Needles1	
17	3.1	55.0	FALSE	8727817	0.0012644892671427321	2	0.00025010108947753906	Needles1	
18	3.1	22.0	FALSE	2708581	0.0012644892671427321	2	0.00010609626770019531	Needles1	
19	3.1	121.0	FALSE	5084775	0.0012644892671427321	2	0.0005409717559814453	Needles1	
20	3.1	11.0	FALSE	8498693	0.0012644892671427321	2	5.507469177246094e-05	Needles1	
21	3.1	11.0	FALSE	9684661	0.0012644892671427321	2	5.507469177246094e-05	Needles1	
22	3.1	184.0	FALSE	2628684	0.0037064917091451655	2	0.0009369850158691406	Needles1	
23	3.1	11.0	FALSE	6908179	0.0012644892671427321	2	7.82012939453125e-05	Needles1	
24	3.1	88.0	FALSE	5969794	0.0012644892671427321	2	0.0003960132598876953	Needles1	
25	3.1	173.0	FALSE	9477047	0.0038618918645454414	2	0.0007779598236083984	Needles1	
26	3.1	44.0	FALSE	2800338	0.0012644892671427321	2	0.00016021728515625	Needles1	
27	3.1	113.0	FALSE	52462	0.002703764701111222	2	0.0004150867462158203	Needles1	
28	3.1	11.0	FALSE	8634301	0.0012644892671427321	2	4.601478576660156e-05	Needles1	
29	3.1	11.0	FALSE	3160444	0.0012644892671427321	2	4.57763671875e-05	Needles1	
30	3.1	33.0	FALSE	9125636	0.0012644892671427321	2	0.0001289844512939453	Needles1	
