Pi	CntProbe	CntProbeLmt	IsCensored	Seed	Error	OFTol	Significant Figures:	
3.1428571429	11.0	100000000	False	4301594	0.0012644893	0.05	1	
3.1428571429	11.0	100000000	False	3684987	0.0012644893	0.05	1	
3.1428571429	11.0	100000000	False	3830703	0.0012644893	0.05	1	
3.1333333333	94.0	100000000	False	6483166	-0.0082593203	0.05	1	
3.0769230769	20.0	100000000	False	1358497	-0.0646695767	0.05	1	
3.0909090909	17.0	100000000	False	8660883	-0.0506835627	0.05	1	
3.1428571429	11.0	100000000	False	6394056	0.0012644893	0.05	1	
3.0625	49.0	100000000	False	5264994	-0.0790926536	0.05	1	
3.1320754717	83.0	100000000	False	3562131	-0.0095171819	0.05	1	
3.0769230769	60.0	100000000	False	1458773	-0.0646695767	0.05	1	
3.1475409836	96.0	100000000	False	4113351	0.00594833	0.05	1	
3.0515463918	148.0	100000000	False	6139650	-0.0900462618	0.05	1	
3.0526315789	116.0	100000000	False	1052027	-0.0889610746	0.05	1	
3.1428571429	22.0	100000000	False	5029533	0.0012644893	0.05	1	
3.0588235294	156.0	100000000	False	5301132	-0.0827691242	0.05	1	
3.1428571429	11.0	100000000	False	3188538	0.0012644893	0.05	1	
3.1111111111	14.0	100000000	False	4920767	-0.0304815425	0.05	1	
3.1111111111	42.0	100000000	False	2670090	-0.0304815425	0.05	1	
3.0909090909	17.0	100000000	False	1912860	-0.0506835627	0.05	1	
3.1428571429	11.0	100000000	False	1083188	0.0012644893	0.05	1	
3.0516431925	325.0	100000000	False	5061512	-0.0899494611	0.05	1	
3.1428571429	11.0	100000000	False	8739923	0.0012644893	0.05	1	
3.1428571429	22.0	100000000	False	99857	0.0012644893	0.05	1	
3.1363636364	69.0	100000000	False	2228551	-0.0052290172	0.05	1	
3.1428571429	11.0	100000000	False	9050392	0.0012644893	0.05	1	
3.12	39.0	100000000	False	9631439	-0.0215926536	0.05	1	
3.125	25.0	100000000	False	5586327	-0.0165926536	0.05	1	
3.125	25.0	100000000	False	6212482	-0.0165926536	0.05	1	
3.0588235294	52.0	100000000	False	9646481	-0.0827691242	0.05	1	
3.0909090909	17.0	100000000	False	4643199	-0.0506835627	0.05	1	
3.0833333333	37.0	100000000	False	2930904	-0.0582593203	0.05	1	
3.1498944405	4476.0	100000000	False	1210345	0.0083017869	0.05	1	
3.1428571429	11.0	100000000	False	9413805	0.0012644893	0.05	1	
3.1111111111	28.0	100000000	False	9274288	-0.0304815425	0.05	1	
3.1111111111	14.0	100000000	False	1940364	-0.0304815425	0.05	1	
3.1428571429	11.0	100000000	False	6928246	0.0012644893	0.05	1	
3.0500715308	1066.0	100000000	False	2630207	-0.0915211228	0.05	1	
3.125	25.0	100000000	False	6155560	-0.0165926536	0.05	1	
3.1428571429	11.0	100000000	False	239240	0.0012644893	0.05	1	
3.0967741935	48.0	100000000	False	8354650	-0.04481846	0.05	1	
3.0507328072	1353.0	100000000	False	2881675	-0.0908598464	0.05	1	
3.0769230769	20.0	100000000	False	4482941	-0.0646695767	0.05	1	
3.1428571429	11.0	100000000	False	6897572	0.0012644893	0.05	1	
3.1481481481	85.0	100000000	False	8695473	0.0065554946	0.05	1	
3.0769230769	20.0	100000000	False	5333663	-0.0646695767	0.05	1	
3.0769230769	20.0	100000000	False	9074720	-0.0646695767	0.05	1	
3.1428571429	11.0	100000000	False	4018344	0.0012644893	0.05	1	
3.1428571429	11.0	100000000	False	816006	0.0012644893	0.05	1	
3.0769230769	20.0	100000000	False	4655367	-0.0646695767	0.05	1	
3.1428571429	11.0	100000000	False	2800197	0.0012644893	0.05	1	
3.0769230769	20.0	100000000	False	7730847	-0.0646695767	0.05	1	
3.0909090909	17.0	100000000	False	5964010	-0.0506835627	0.05	1	
3.1111111111	14.0	100000000	False	3579653	-0.0304815425	0.05	1	
3.1428571429	11.0	100000000	False	5805517	0.0012644893	0.05	1	
3.0909090909	17.0	100000000	False	3567472	-0.0506835627	0.05	1	
3.0769230769	20.0	100000000	False	3503472	-0.0646695767	0.05	1	
3.1428571429	11.0	100000000	False	2833016	0.0012644893	0.05	1	
3.0588235294	52.0	100000000	False	5294760	-0.0827691242	0.05	1	
3.0588235294	26.0	100000000	False	5675431	-0.0827691242	0.05	1	
3.1111111111	14.0	100000000	False	9707523	-0.0304815425	0.05	1	
3.1428571429	11.0	100000000	False	6163769	0.0012644893	0.05	1	
3.1	31.0	100000000	False	3404826	-0.0415926536	0.05	1	
3.0566037736	81.0	100000000	False	6370031	-0.08498888	0.05	1	
3.1428571429	11.0	100000000	False	7445126	0.0012644893	0.05	1	
3.1428571429	11.0	100000000	False	6355070	0.0012644893	0.05	1	
3.1428571429	11.0	100000000	False	6767299	0.0012644893	0.05	1	
3.0666666667	23.0	100000000	False	3029632	-0.0749259869	0.05	1	
3.1450381679	206.0	100000000	False	8696879	0.0034455143	0.05	1	
3.0909090909	34.0	100000000	False	986621	-0.0506835627	0.05	1	
3.0746268657	103.0	100000000	False	4396470	-0.0669657879	0.05	1	
3.1111111111	14.0	100000000	False	9474784	-0.0304815425	0.05	1	
3.1428571429	11.0	100000000	False	6961288	0.0012644893	0.05	1	
3.1111111111	14.0	100000000	False	9171043	-0.0304815425	0.05	1	
3.0909090909	17.0	100000000	False	3493336	-0.0506835627	0.05	1	
3.1428571429	11.0	100000000	False	4438683	0.0012644893	0.05	1	
3.12	39.0	100000000	False	1006076	-0.0215926536	0.05	1	
3.1111111111	14.0	100000000	False	2743410	-0.0304815425	0.05	1	
3.1428571429	55.0	100000000	False	1121729	0.0012644893	0.05	1	
3.1428571429	11.0	100000000	False	3718035	0.0012644893	0.05	1	
3.0769230769	40.0	100000000	False	7367346	-0.0646695767	0.05	1	
3.1111111111	14.0	100000000	False	4009987	-0.0304815425	0.05	1	
3.1	31.0	100000000	False	7794913	-0.0415926536	0.05	1	
3.0769230769	40.0	100000000	False	2605286	-0.0646695767	0.05	1	
3.1428571429	11.0	100000000	False	671302	0.0012644893	0.05	1	
3.0833333333	37.0	100000000	False	5292995	-0.0582593203	0.05	1	
3.1428571429	11.0	100000000	False	3342332	0.0012644893	0.05	1	
3.1428571429	22.0	100000000	False	5276362	0.0012644893	0.05	1	
3.0909090909	17.0	100000000	False	1259914	-0.0506835627	0.05	1	
3.1428571429	11.0	100000000	False	9736546	0.0012644893	0.05	1	
3.0952380952	65.0	100000000	False	9986908	-0.0463545584	0.05	1	
3.0526315789	406.0	100000000	False	1976312	-0.0889610746	0.05	1	
3.1428571429	11.0	100000000	False	8492405	0.0012644893	0.05	1	
3.1445086705	272.0	100000000	False	8589882	0.0029160169	0.05	1	
3.1428571429	11.0	100000000	False	8829911	0.0012644893	0.05	1	
3.125	50.0	100000000	False	6047093	-0.0165926536	0.05	1	
3.0909090909	34.0	100000000	False	593557	-0.0506835627	0.05	1	
3.1475409836	192.0	100000000	False	8961288	0.00594833	0.05	1	
3.1428571429	11.0	100000000	False	1594789	0.0012644893	0.05	1	
3.1111111111	28.0	100000000	False	7957606	-0.0304815425	0.05	1	
3.0769230769	20.0	100000000	False	3486561	-0.0646695767	0.05	1	
3.1428571429	154.0	100000000	False	7798624	0.0012644893	0.005	2	
3.1428571429	44.0	100000000	False	7509336	0.0012644893	0.005	2	
3.1395348837	135.0	100000000	False	6850649	-0.0020577699	0.005	2	
3.1428571429	11.0	100000000	False	3486805	0.0012644893	0.005	2	
3.1370558376	309.0	100000000	False	9097365	-0.004536816	0.005	2	
3.1428571429	44.0	100000000	False	6620482	0.0012644893	0.005	2	
3.1351351351	58.0	100000000	False	9028500	-0.0064575185	0.005	2	
3.1401869159	168.0	100000000	False	851229	-0.0014057377	0.005	2	
3.1428571429	11.0	100000000	False	5887640	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	9166103	0.0012644893	0.005	2	
3.1428571429	176.0	100000000	False	3090280	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	6767259	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	115201	0.0012644893	0.005	2	
3.1428571429	44.0	100000000	False	6083391	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	3013966	0.0012644893	0.005	2	
3.1441753172	1363.0	100000000	False	3683993	0.0025826636	0.005	2	
3.1351351351	58.0	100000000	False	1535388	-0.0064575185	0.005	2	
3.1428571429	22.0	100000000	False	2783765	0.0012644893	0.005	2	
3.1428571429	99.0	100000000	False	9970687	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	5897629	0.0012644893	0.005	2	
3.1428571429	88.0	100000000	False	4134169	0.0012644893	0.005	2	
3.1351351351	58.0	100000000	False	7288047	-0.0064575185	0.005	2	
3.1428571429	11.0	100000000	False	4616720	0.0012644893	0.005	2	
3.1428571429	110.0	100000000	False	3412539	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	3721663	0.0012644893	0.005	2	
3.1434977578	701.0	100000000	False	4948332	0.0019051043	0.005	2	
3.1428571429	33.0	100000000	False	5264026	0.0012644893	0.005	2	
3.1441860465	338.0	100000000	False	6978358	0.0025933929	0.005	2	
3.1428571429	11.0	100000000	False	5849914	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	6906944	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	8885900	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	3283936	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	7348014	0.0012644893	0.005	2	
3.1447963801	695.0	100000000	False	2164281	0.0032037265	0.005	2	
3.135186355	14889.0	100000000	False	1380951	-0.0064062986	0.005	2	
3.1428571429	22.0	100000000	False	4663271	0.0012644893	0.005	2	
3.1358024691	127.0	100000000	False	428040	-0.0057901845	0.005	2	
3.141025641	245.0	100000000	False	6224981	-0.0005670126	0.005	2	
3.1365638767	356.0	100000000	False	1095135	-0.0050287769	0.005	2	
3.1428571429	55.0	100000000	False	5330679	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	3430913	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	6681311	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	5259936	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	9866753	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	7224645	0.0012644893	0.005	2	
3.1428571429	55.0	100000000	False	7922753	0.0012644893	0.005	2	
3.1355674029	4117.0	100000000	False	103776	-0.0060252507	0.005	2	
3.1440107672	1168.0	100000000	False	5536011	0.0024181136	0.005	2	
3.1428571429	132.0	100000000	False	7070583	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	7004683	0.0012644893	0.005	2	
3.1397849462	146.0	100000000	False	2611502	-0.0018077074	0.005	2	
3.1428571429	33.0	100000000	False	7826796	0.0012644893	0.005	2	
3.1428571429	33.0	100000000	False	8300304	0.0012644893	0.005	2	
3.1428571429	99.0	100000000	False	8421340	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	7198414	0.0012644893	0.005	2	
3.1351351351	58.0	100000000	False	4641327	-0.0064575185	0.005	2	
3.1428571429	55.0	100000000	False	1864919	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	4293290	0.0012644893	0.005	2	
3.1428571429	99.0	100000000	False	1865973	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	2401080	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	163299	0.0012644893	0.005	2	
3.137254902	640.0	100000000	False	6082172	-0.0043377516	0.005	2	
3.1442307692	327.0	100000000	False	2473270	0.0026381156	0.005	2	
3.1428571429	44.0	100000000	False	1341042	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	7440170	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	5546537	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	3902449	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	8333265	0.0012644893	0.005	2	
3.1428571429	33.0	100000000	False	9872119	0.0012644893	0.005	2	
3.1428571429	33.0	100000000	False	2884720	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	7257278	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	9530169	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	9526507	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	6752561	0.0012644893	0.005	2	
3.1428571429	55.0	100000000	False	5297230	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	297067	0.0012644893	0.005	2	
3.1428571429	110.0	100000000	False	9407801	0.0012644893	0.005	2	
3.1428571429	55.0	100000000	False	191687	0.0012644893	0.005	2	
3.1438356164	459.0	100000000	False	277304	0.0022429628	0.005	2	
3.1350613915	2298.0	100000000	False	9779546	-0.006531262	0.005	2	
3.1351351351	696.0	100000000	False	2366444	-0.0064575185	0.005	2	
3.1428571429	11.0	100000000	False	7976299	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	4738942	0.0012644893	0.005	2	
3.1392405063	124.0	100000000	False	2647767	-0.0023521473	0.005	2	
3.1390728477	711.0	100000000	False	1443178	-0.0025198059	0.005	2	
3.1351351351	58.0	100000000	False	1273029	-0.0064575185	0.005	2	
3.140625	402.0	100000000	False	305714	-0.0009676536	0.005	2	
3.1363636364	552.0	100000000	False	6445757	-0.0052290172	0.005	2	
3.1447715736	7744.0	100000000	False	7657266	0.00317892	0.005	2	
3.1428571429	22.0	100000000	False	3486025	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	864512	0.0012644893	0.005	2	
3.1434689507	734.0	100000000	False	3194192	0.0018762972	0.005	2	
3.1428571429	22.0	100000000	False	1320946	0.0012644893	0.005	2	
3.1428571429	22.0	100000000	False	752868	0.0012644893	0.005	2	
3.1428571429	99.0	100000000	False	6311631	0.0012644893	0.005	2	
3.1449347215	9515.0	100000000	False	9072380	0.0033420679	0.005	2	
3.1428571429	11.0	100000000	False	9961911	0.0012644893	0.005	2	
3.1428571429	33.0	100000000	False	3587019	0.0012644893	0.005	2	
3.1428571429	11.0	100000000	False	1914267	0.0012644893	0.005	2	
3.1428571429	407.0	100000000	False	6515830	0.0012644893	0.005	2	
3.1416430595	1109.0	100000000	False	6162008	5.04059e-05	0.0005	3	
3.1417112299	1175.0	100000000	False	7367501	0.0001185764	0.0005	3	
3.1415525114	344.0	100000000	False	5838917	-4.01422e-05	0.0005	3	
3.1421319797	619.0	100000000	False	3868489	0.0005393261	0.0005	3	
3.1418439716	443.0	100000000	False	9728050	0.000251318	0.0005	3	
3.1416752844	3038.0	100000000	False	2810185	8.26308e-05	0.0005	3	
3.141509434	333.0	100000000	False	1427039	-8.32196e-05	0.0005	3	
3.1422222222	707.0	100000000	False	5455933	0.0006295686	0.0005	3	
3.1423290203	850.0	100000000	False	5765551	0.0007363667	0.0005	3	
3.1417322835	399.0	100000000	False	1464449	0.0001396299	0.0005	3	
3.141509434	333.0	100000000	False	4836674	-8.32196e-05	0.0005	3	
3.141509434	333.0	100000000	False	3683621	-8.32196e-05	0.0005	3	
3.1421686747	652.0	100000000	False	6202906	0.0005760211	0.0005	3	
3.1416122004	721.0	100000000	False	3872708	1.95468e-05	0.0005	3	
3.1417624521	410.0	100000000	False	6794695	0.0001697985	0.0005	3	
3.1424465027	9839.0	100000000	False	4203872	0.0008538491	0.0005	3	
3.1417769376	831.0	100000000	False	4721755	0.000184284	0.0005	3	
3.1419884463	5167.0	100000000	False	8335407	0.0003957927	0.0005	3	
3.1415700407	40099.0	100000000	False	2087893	-2.26129e-05	0.0005	3	
3.1420982736	1183.0	100000000	False	1041938	0.00050562	0.0005	3	
3.1418439716	886.0	100000000	False	8132954	0.000251318	0.0005	3	
3.142461964	1136.0	100000000	False	8454057	0.0008693104	0.0005	3	
3.1424137931	9113.0	100000000	False	3958669	0.0008211395	0.0005	3	
3.1419053964	2358.0	100000000	False	7370854	0.0003127428	0.0005	3	
3.1421528348	1912.0	100000000	False	4940061	0.0005601812	0.0005	3	
3.1419939577	520.0	100000000	False	41394	0.0004013041	0.0005	3	
3.1422764228	773.0	100000000	False	9397010	0.0006837692	0.0005	3	
3.1415072445	94751.0	100000000	False	5001092	-8.54091e-05	0.0005	3	
3.1415929204	355.0	100000000	False	5800555	2.668e-07	0.0005	3	
3.1417475728	809.0	100000000	False	8103692	0.0001549192	0.0005	3	
3.1424836601	1202.0	100000000	False	6129809	0.0008910065	0.0005	3	
3.1421319797	619.0	100000000	False	5610497	0.0005393261	0.0005	3	
3.1421446384	630.0	100000000	False	8366008	0.0005519848	0.0005	3	
3.1418826739	2303.0	100000000	False	7464353	0.0002900204	0.0005	3	
3.1422505308	740.0	100000000	False	2008621	0.0006578772	0.0005	3	
3.141512909	93815.0	100000000	False	8628481	-7.97446e-05	0.0005	3	
3.1424164524	12224.0	100000000	False	4583847	0.0008237989	0.0005	3	
3.141555839	8622.0	100000000	False	2905720	-3.68146e-05	0.0005	3	
3.1419354839	974.0	100000000	False	9898607	0.0003428303	0.0005	3	
3.1419753086	509.0	100000000	False	3258250	0.0003826551	0.0005	3	
3.1419753086	509.0	100000000	False	2381292	0.0003826551	0.0005	3	
3.1420454545	553.0	100000000	False	3194663	0.000452801	0.0005	3	
3.1424936387	2470.0	100000000	False	7750463	0.0009009851	0.0005	3	
3.1420247633	2157.0	100000000	False	2581111	0.0004321097	0.0005	3	
3.1419865935	2578.0	100000000	False	3583768	0.00039394	0.0005	3	
3.1423848878	13308.0	100000000	False	4657691	0.0007922342	0.0005	3	
3.1419939577	520.0	100000000	False	503422	0.0004013041	0.0005	3	
3.1424375918	1070.0	100000000	False	362362	0.0008449382	0.0005	3	
3.1415090032	206394.0	100000000	False	337002	-8.36504e-05	0.0005	3	
3.1418181818	864.0	100000000	False	6889648	0.0002255282	0.0005	3	
3.1415525114	344.0	100000000	False	6726767	-4.01422e-05	0.0005	3	
3.1422222222	707.0	100000000	False	666783	0.0006295686	0.0005	3	
3.1417004049	388.0	100000000	False	3002280	0.0001077513	0.0005	3	
3.1422319475	1436.0	100000000	False	5343947	0.0006392939	0.0005	3	
3.1421319797	619.0	100000000	False	559940	0.0005393261	0.0005	3	
3.1420612813	564.0	100000000	False	5853986	0.0004686277	0.0005	3	
3.1423290203	850.0	100000000	False	2190287	0.0007363667	0.0005	3	
3.1423757372	1865.0	100000000	False	4657240	0.0007830836	0.0005	3	
3.1418047882	853.0	100000000	False	9753233	0.0002121346	0.0005	3	
3.1415525114	344.0	100000000	False	5083514	-4.01422e-05	0.0005	3	
3.1418975651	1871.0	100000000	False	7417162	0.0003049115	0.0005	3	
3.1415138693	3341.0	100000000	False	823297	-7.87843e-05	0.0005	3	
3.142499667	2158770.0	100000000	False	5233995	0.0009070134	0.0005	3	
3.1419354839	1461.0	100000000	False	6990355	0.0003428303	0.0005	3	
3.1415525114	344.0	100000000	False	984866	-4.01422e-05	0.0005	3	
